"DATE","TIME","C0ppb","CO_sd","Number","Other","Center"
2010-07-08,"13:00:01",99.9121951219512,2.88090221301863,41,0,2010-07-08 13:39:01
2010-07-08,"14:00:01",96.0033333333333,3.43555520229593,60,0,2010-07-08 14:29:31
2010-07-08,"15:00:01",101.934545454545,3.54558766908843,55,5,2010-07-08 15:28:55
2010-07-08,"16:00:01",122.408510638298,5.45414998706545,47,13,2010-07-08 16:36:01
2010-07-08,"17:00:01",129.308333333333,4.94496119731367,60,0,2010-07-08 17:29:31
2010-07-08,"18:00:01",135.675,4.25084737315168,60,0,2010-07-08 18:29:31
2010-07-08,"19:00:01",133.273333333333,6.09728660592581,60,0,2010-07-08 19:29:31
2010-07-08,"20:00:01",152.277083333333,8.59411574012184,48,12,2010-07-08 20:35:16
2010-07-08,"21:00:01",149.88,4.9039866176166,60,0,2010-07-08 21:29:31
2010-07-08,"22:00:01",138.163333333333,4.33921677954524,60,0,2010-07-08 22:29:31
2010-07-08,"23:00:01",132.871666666667,3.43856945356723,60,0,2010-07-08 23:29:31
2010-07-09,"00:00:01",139.274468085106,4.42224948095258,47,13,2010-07-09 00:36:01
2010-07-09,"01:00:01",134.183333333333,4.04685132537847,60,0,2010-07-09 01:29:31
2010-07-09,"02:00:01",128.926666666667,4.35967137101833,60,0,2010-07-09 02:29:31
2010-07-09,"03:00:01",146.225,12.8045757843417,60,0,2010-07-09 03:29:31
2010-07-09,"04:00:01",165.268085106383,4.69440492052154,47,13,2010-07-09 04:36:01
2010-07-09,"05:00:01",140.088333333333,17.1727424111848,60,0,2010-07-09 05:29:31
2010-07-09,"06:00:01",139.590322580645,75.4957939439397,31,28,2010-07-09 06:23:38
2010-07-09,"07:00:01",133.976666666667,7.45336612992188,60,0,2010-07-09 07:29:31
2010-07-09,"08:00:01",121.306666666667,3.94809505273803,45,15,2010-07-09 08:36:41
2010-07-09,"09:00:01",118.126666666667,4.09492727390012,60,0,2010-07-09 09:29:31
2010-07-09,"10:00:01",118.536666666667,8.75833678713237,60,0,2010-07-09 10:29:31
2010-07-09,"11:00:01",117.011666666667,4.04496303922552,60,0,2010-07-09 11:29:31
2010-07-09,"12:00:01",120.102127659574,3.84473040620434,47,13,2010-07-09 12:36:01
2010-07-09,"13:00:01",117.49,3.76143229120982,60,0,2010-07-09 13:29:31
2010-07-09,"14:00:01",115.543333333333,4.73667145759289,60,0,2010-07-09 14:29:31
2010-07-09,"15:00:01",126.643333333333,5.41324072448685,60,0,2010-07-09 15:29:31
2010-07-09,"16:00:01",131.282978723404,3.69684466802941,47,13,2010-07-09 16:36:01
2010-07-09,"17:00:01",130.326666666667,3.22799547742246,60,0,2010-07-09 17:29:31
2010-07-09,"18:00:01",137.93,5.83337271980246,60,0,2010-07-09 18:29:31
2010-07-09,"19:00:01",159.455555555556,8.52193841467036,45,15,2010-07-09 19:36:41
2010-07-09,"20:00:01",179.810638297872,4.98520567987674,47,13,2010-07-09 20:36:01
2010-07-09,"21:00:01",186.233333333333,4.5992138851745,60,0,2010-07-09 21:29:31
2010-07-09,"22:00:01",192.585,4.34479329929047,60,0,2010-07-09 22:29:31
2010-07-09,"23:00:01",184.316666666667,5.96021176585072,60,0,2010-07-09 23:29:31
2010-07-10,"00:00:01",179.457446808511,4.29695264520714,47,13,2010-07-10 00:36:01
2010-07-10,"01:00:01",182.465,5.98891136368154,60,0,2010-07-10 01:29:31
2010-07-10,"02:00:01",175.416666666667,4.93105574238046,60,0,2010-07-10 02:29:31
2010-07-10,"03:00:01",183.7,9.91188295576645,60,0,2010-07-10 03:29:31
2010-07-10,"04:00:01",190.748936170213,3.6752919044334,47,13,2010-07-10 04:36:01
2010-07-10,"05:00:01",169.603333333333,13.5625852076263,60,0,2010-07-10 05:29:31
2010-07-10,"06:00:01",149.466666666667,5.72927093569029,45,15,2010-07-10 06:36:41
2010-07-10,"07:00:01",144.76,4.25370028348201,60,0,2010-07-10 07:29:31
